Dataset,Dependent_Variable,Metric,AIC,BIC,Pseudo_R2,Parameter,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
5 segments,Staging_z,General Category,5494.751034373408,-13385.241117238755,0.099076925903689,"np.power(Relative_Segment, 2):general_category[T.Medium]",0.029889004446591583,0.14066224704800784,0.21248775043662219,0.8317265333316245,-0.2458039337519793,0.3055819426451625
5 segments,Staging_z,General Category,5494.751034373408,-13385.241117238755,0.099076925903689,"np.power(Relative_Segment, 2):general_category[T.High]",0.20549719391395294,0.14066224704800645,1.4609264264335196,0.14403563345408008,-0.07019574428461522,0.4811901321125211
5 segments,Staging_z,Genre,5487.706682452954,-13379.957075670554,0.10402593194422816,Intercept,0.5315833393561985,0.05971525968341854,8.901968143057513,5.4865017796147755e-19,0.4145435810492415,0.6486230976631555
5 segments,Staging_z,Genre,5487.706682452954,-13379.957075670554,0.10402593194422816,genre[T.Other],-0.08863893108537668,0.12670703241055706,-0.6995581018594782,0.48420331598915933,-0.33698015119801783,0.1597022890272645
5 segments,Staging_z,Genre,5487.706682452954,-13379.957075670554,0.10402593194422816,genre[T.Romantic],0.24786613538967092,0.10687963787839178,2.3191146630913395,0.020388819912584556,0.03838589446734009,0.45734637631200176
5 segments,Staging_z,Genre,5487.706682452954,-13379.957075670554,0.10402593194422816,genre[T.Suspense],0.06158040341729815,0.06678418371267052,0.9220806483499013,0.35648651016851773,-0.06931419139644254,0.19247499823103884
5 segments,Staging_z,Genre,5487.706682452954,-13379.957075670554,0.10402593194422816,"np.power(Relative_Segment, 1)",-2.5917995935187745,0.21126280969786979,-12.268129905236739,1.3431988730689748e-34,-3.0058670917993386,-2.1777320952382104
5 segments,Staging_z,Genre,5487.706682452954,-13379.957075670554,0.10402593194422816,"np.power(Relative_Segment, 2)",2.038177219741837,0.21620970540001191,9.426853507667397,4.225751140359251e-21,1.6144139840497982,2.4619404554338753
5 segments,Staging_z,Genre,5487.706682452954,-13379.957075670554,0.10402593194422816,"np.power(Relative_Segment, 2):genre[T.Other]",0.23637048289433338,0.24093731889779174,0.9810455431962548,0.32657028309814873,-0.23585798467698016,0.7085989504656469
5 segments,Staging_z,Genre,5487.706682452954,-13379.957075670554,0.10402593194422816,"np.power(Relative_Segment, 2):genre[T.Romantic]",-0.660976361039127,0.2032349184199015,-3.2522775425504924,0.001144841728413925,-1.05930948154307,-0.2626432405351841
